Wavelength_nm,n_Si,k_Si,R_Si_Air
400.0,5.623,0.32627,0.48847617132352733
410.0,5.341,0.24127,0.4694347874395745
420.0,5.11,0.17694,0.45294069188429437
430.0,4.932,0.13766,0.43966602624844436
440.0,4.79,0.11201,0.42868467339199057
450.0,4.673,0.095362,0.4193592601604605
460.0,4.572,0.079105,0.41107976903286775
470.0,4.485,0.07024,0.403791777765558
480.0,4.412,0.059817,0.3975418712931925
490.0,4.349,0.05381,0.392060650015555
500.0,4.289,0.048542,0.3867573910112759
510.0,4.235,0.043831,0.38191302723633874
520.0,4.187,0.039531,0.37754890943360514
530.0,4.145,0.034804,0.37368343948842153
540.0,4.103,0.029896,0.36977523361699083
550.0,4.073,0.028038,0.3669596239348199
560.0,4.038,0.026551,0.36364726137832437
570.0,4.006,0.023746,0.3605899267569589
580.0,3.977,0.021896,0.3577976430850072
590.0,3.954,0.020076,0.35556737389098275
600.0,3.931,0.018521,0.353323761960691
610.0,3.908,0.017257,0.35106668714817596
620.0,3.888,0.016809,0.3490933367657932
630.0,3.869,0.016268,0.3472087509670003
640.0,3.851,0.014693,0.3454136021910104
650.0,3.835,0.014447,0.34381163533675996
660.0,3.817,0.013608,0.3420007588842518
670.0,3.805,0.012807,0.34078848768472764
680.0,3.791,0.012045,0.33936939550679796
690.0,3.776,0.011317,0.33784311025944264
700.0,3.765,0.010623,0.3367198453186196
710.0,3.753,0.009961,0.33549076686290685
720.0,3.741,0.0093335,0.33425777108764654
730.0,3.73,0.0087312,0.33312404017915365
740.0,3.719,0.0081618,0.33198699749271177
750.0,3.712,0.0076156,0.3312616013923152
760.0,3.701,0.0070942,0.3301191156061889
770.0,3.693,0.0066054,0.3292860639255897
780.0,3.684,0.0061338,0.3283467890557814
790.0,3.677,0.0056888,0.32761465551853186
800.0,3.669,0.0052655,0.3267762899196643
810.0,3.662,0.004864,0.3260412437097208
820.0,3.655,0.0044836,0.32530483319732145
830.0,3.646,0.0041235,0.3243560338956716
840.0,3.641,0.0037828,0.3238279033964623
850.0,3.636,0.0034605,0.32329907626989135
860.0,3.628,0.0031563,0.3224515327530526
870.0,3.622,0.0028697,0.3218146756297944
880.0,3.617,0.0026001,0.32128317809950013
890.0,3.613,0.0023464,0.32085746509195473
900.0,3.61,0.0021092,0.3205378773269413
910.0,3.604,0.0018864,0.3198979705322934
920.0,3.598,0.0016787,0.3192570402111682
930.0,3.597,0.0014757,0.319150101755098
940.0,3.59,0.0013061,0.318400860198028
950.0,3.584,0.0011393,0.31775753538913076
960.0,3.584,0.00098243,0.3177575245827681
970.0,3.578,0.0008406,0.317113171343981
980.0,3.582,0.00071334,0.3175428430147984
990.0,3.579,0.00059638,0.31722062253414873
1000.0,3.575,0.0004902,0.3167905957979043
1010.0,3.572,0.00039616,0.31646777387002006
1020.0,3.568,0.00031437,0.316036943378816
1030.0,3.565,0.00024048,0.31571351811656706
1040.0,3.562,0.00017959,0.31538983388883934
1050.0,3.559,0.00013043,0.3150658903463641
1060.0,3.556,9.245e-05,0.3147416871892589
1070.0,3.553,6.782e-05,0.31441722416030793
1080.0,3.549,5.2168e-05,0.3139842021070869
1090.0,3.547,3.977e-05,0.31376751746912845
1100.0,3.545,3.0217e-05,0.31355071703823634
