wavelength_nm,n_si,k_si,R_air_si
500.0,4.294,0.044165,0.38719269583855015
510.0,4.241,0.039367,0.3824452848388231
520.0,4.193,0.036415,0.3780909830229887
530.0,4.151,0.033108,0.3742344024097524
540.0,4.112,0.030295,0.370615338524869
550.0,4.077,0.027968,0.36733589216413154
560.0,4.045,0.025758,0.3643107675572508
570.0,4.015,0.024131,0.36145190867473853
580.0,3.988,0.022524,0.3588592280783069
590.0,3.963,0.021081,0.3564420232864178
600.0,3.94,0.019934,0.35420415906868
610.0,3.918,0.018446,0.3520503424960027
620.0,3.898,0.017367,0.3500816419608273
630.0,3.879,0.016444,0.34820173299815926
640.0,3.861,0.015432,0.3464118435655828
650.0,3.844,0.014431,0.3447134607127318
660.0,3.828,0.013498,0.3431079543549888
670.0,3.813,0.012743,0.341596654595182
680.0,3.798,0.011905,0.3400792400615498
690.0,3.784,0.011201,0.33865755545987036
700.0,3.772,0.010528,0.33743469334656606
