ensemble_id,d_gap_rear_nm,transition_max_abs_deltaR_total,rear_max_abs_deltaR_total,rear_max_abs_deltaR_stack,R_total_780nm
nominal,0.0,0.0,0.0,0.0,0.7130745311884239
nominal,2.0,0.008059791299836472,0.008088371731278854,0.008345737301819978,0.7105440157706862
nominal,5.0,0.019469743905201065,0.019673628385325714,0.020301078901645453,0.7065954455341403
nominal,10.0,0.036469512380062574,0.037522632547050905,0.03871103279036603,0.6998307651596928
more_absorptive,0.0,0.0,0.0,0.0,0.4309230487060185
more_absorptive,2.0,0.00587195772539606,0.006725415727567574,0.006900572034287289,0.4325523100858485
more_absorptive,5.0,0.014347087075063047,0.016526603505433335,0.016955184900877107,0.43451440624526816
more_absorptive,10.0,0.02759418480850695,0.032073514202917486,0.03290395806414237,0.4367160843926108
less_absorptive,0.0,0.0,0.0,0.0,0.6148956784793825
less_absorptive,2.0,0.007233464004969492,0.0072101633436088,0.007480750365987721,0.6152067324222388
less_absorptive,5.0,0.01764945926214545,0.01764945926214545,0.01830330126464419,0.6151852961283302
less_absorptive,10.0,0.033779723292811425,0.03385299096697536,0.03509122857195135,0.6141458454346563
